"gid","lbl.x","val.x","lbl.y","val.y","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균","구급발생수","전체발생수","화재발생정규화","구조발생정규화","구급발생정규화","전체발생정규화","소요시간","정규화시간","전체시간가중"
"라라55b83b","6.05",6.05,"6.05",6.05,73.49,6.05,3,103.32,45.72,0,0,0,0,66.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18546.81,1,0,3.557,6.511,1.203,1,0.04,1,26400,26400,0,0,2341,2341,12,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.260575235987417,0.032258064516129,0.00672268907563025,0,0.0389807535917593,13.9837710197547,1.27407209932458,1.32373638988648
"라라61b84b","5.91",5.91,"5.91",5.91,120.16,5.91,35,133.45,29.59,0,19,0,30,34.58,8,0,0,7,57,0,0,6,12,10,7,7,0,0,28252.2,23,13,6.016,2.779,3.533,6,1.81,1,2134,2134,0,0,102,102,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00220769421088088,0.032258064516129,0.00840336134453781,0.0153846153846154,0.0560460412452822,2.81643018658964,1,1.05604604124528
"라라48b95a","4.87",4.87,"4.87",4.87,108.62,4.87,40,101.98,27.05,0,29,0,28,26.82,0,0,0,0,58,0,7,0,9,10,16,0,0,0,18151.15,33,25,10.995,4.869,7.739,5,1.63,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.514103363970546,0,0.00448179271708683,0.0153846153846154,0.0198664081017022,14.7273251612642,1.28905886257735,1.31466783200843
"라라46b93a","7.90",7.9,"7.90",7.9,58.3,7.9,3,72.6,19.86,0,0,0,0,39.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6357.4,2,2,8.516,6.972,4.881,1,0.09,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.822062194397093,0,0.00112044817927171,0,0.00112044817927171,11.7207058570873,1.22845871366091,1.22983513798994
"라라70b83a","7.90",7.9,"7.90",7.9,1618.88,7.9,2,1618.88,46.79,0,0,0,0,46.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10420.08,0,0,18.401,2.909,7.027,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.852179461215926,0,0,0,0,11.1147041330741,1.21624439884301,1.21624439884301
"라라54a90a","7.89",7.89,"7.89",7.89,147.66,7.89,22,235.67,17.15,0,10,0,32,27.72,0,0,0,0,45,7,7,0,11,7,0,0,0,0,39906.52,5,1,3.563,3.141,3.609,6,2.08,0,0,0,0,0,0,0,31,2,0.064516129,0,0,2,0.064516129,0,0,0,0,0,0,9,0.26745926438613,0,0.0173669467787115,0.0461538461538462,0.0635207929325576,12.2975467515328,1.24008527511348,1.31885647509268
"라라68b89b","4.50",4.5,"4.50",4.5,86.49,4.5,14,92.68,48.56,0,9,0,0,91.92,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4839.92,14,11,16.51,3.467,5.67,3,0.52,0,0,0,0,0,0,0,12,3,0.25,3,0.25,0,0,0,0,0,0,0,0,0,-0.671475860302929,0,0.00672268907563025,0,0.00672268907563025,13.254620589552,1.25937565119382,1.26784204212622
"라라55a80a","9.41",9.41,"9.41",9.41,936.12,9.41,59,1039.53,30.54,0,0,0,13,31.64,0,0,0,0,13,0,0,0,0,0,0,0,0,0,257943.12,0,0,8.849,2.604,1.29,1,24.53,2,4148,2074,0,0,518,259,48,1,0.020833333,0,0,0,0,0,0,1,0.020833333,0,0,0,0.692436191067087,0.0645161290322581,0.026890756302521,0,0.0914068853347791,2.60615867170832,1,1.09140688533478
"라라40b86b","8.85",8.85,"8.85",8.85,71.16,8.85,4,81.21,15.2,0,0,0,9,21.3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9694.98,3,2,20.655,3.178,6.688,2,0.13,0,0,0,0,0,0,0,16,2,0.125,0,0,0,0,0,0,2,0.125,0,0,1,-0.53870565000858,0,0.00896358543417367,0.00512820512820513,0.0140917905623788,3.60737394278859,1,1.01409179056238
"라라74a90a","3.94",3.94,"3.94",3.94,128.19,3.94,22,130.72,20.21,0,14,0,0,23.08,0,0,0,0,18,0,0,0,0,0,0,6,0,0,12706.95,15,12,17.65,1.636,4.075,3,1.15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.616756307446062,0,0.00336134453781513,0.0102564102564103,0.0136177547942254,9.73215535718108,1.18837832960472,1.20456137430005
