"gid","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균"
"라라48a96b",101.4,4.99,19,105.76,20.56,0,12,0,13,22.02,0,0,0,0,25,0,0,0,0,0,6,0,0,0,7037.05,11,10,12.737,4.964,8.417,4,0.8,2,8828,4414,0,0,5157,2578.5,4,0,0,0,0,0,0,0,0,0,0,0,0
"라라68b95a",166.31,5.41,34,179.23,24.31,0,16,0,11,25.77,0,0,0,0,27,0,0,0,6,6,0,9,0,0,25001.81,28,14,12.095,3.176,4.669,5,2.37,3,10967,3655.66666666667,0,0,18720,6240,13,0,0,0,0,0,0,0,0,0,0,0,0
"라라52a94b",115.27,5.09,14,126.62,28.35,0,14,0,11,37.5,0,0,0,0,26,0,0,0,0,0,7,0,0,0,53685.54,10,8,8.739,3.315,6.059,4,0.66,3,5758,1919.33333333333,1,0.333333333333333,815,271.666666666667,9,1,0.111111111111111,0,0,1,0.111111111111111,0,0,0,0,0,0
"라라53b87b",131.63,11.25,573,390.45,59.83,50,655,23,2091,162.53,126,35,51,74,2872,744,390,303,396,404,263,136,26,0,1321893.64,410,332,0.705,1.807,0.133,15,89.4,17,71037,4178.64705882353,1,0.0588235294117647,10870,639.411764705882,504,63,0.125,8,0.0158730158730159,36,0.0714285714285714,14,0.0277777777777778,3,0.00595238095238095,0,0
"라라49b93b",100.9,6.51,61,112.81,31.21,0,27,0,43,35,0,0,0,0,73,0,6,8,12,19,10,8,0,0,24685.59,34,23,7.729,6.039,5.726,8,2.72,1,0,0,0,0,90,90,23,0,0,0,0,0,0,0,0,0,0,0,0
"라라53b94a",105.37,6.17,31,242.6,25.55,0,15,0,20,30.87,0,0,0,0,37,6,0,0,6,11,0,0,0,0,70032.85,18,14,9.555,5.29,4.029,6,2.98,2,1825,912.5,0,0,454,227,41,8,0.195121951219512,1,0.024390243902439,5,0.121951219512195,2,0.0487804878048781,0,0,0,0
"라라57a96b",82.24,5,44,85.01,26.18,0,26,0,28,26.9,0,0,0,0,55,0,0,0,13,11,7,14,0,0,24084.8,33,25,13.675,3.732,6.296,6,1.5,5,26168,5233.6,0,0,8867,1773.4,9,2,0.222222222222222,0,0,0,0,1,0.111111111111111,0,0,0,0
"라라51a83a",151.79,4.7,19,156.55,20.42,0,6,0,10,20.38,0,0,0,0,16,0,0,0,0,0,0,0,0,0,25133.74,7,3,5.99,6.544,4.081,5,1.19,1,810,810,0,0,1111,1111,8,0,0,0,0,0,0,0,0,0,0,0,0
"라라56a88a",138.94,10.43,726,343.19,57.43,78,637,6,1958,145.37,186,66,56,106,2781,417,327,325,525,458,285,124,14,0,1051046.18,543,461,3.397,3.871,0.451,13,99.9,11,49861,4532.81818181818,0,0,8746,795.090909090909,524,156,0.297709923664122,5,0.00954198473282443,97,0.185114503816794,38,0.0725190839694656,9,0.017175572519084,0,0
"라라39a89a",183.19,6.58,70,213,33.91,0,49,0,33,49.79,0,0,0,0,83,0,0,0,9,27,28,8,0,0,28825.61,36,28,23.688,0.26,5.217,6,5.91,2,1502,751,0,0,2944,1472,32,5,0.15625,0,0,3,0.09375,1,0.03125,0,0,0,0
