gid,건축면적,건축물높이,건축물수,건축물연면적,건폐율,고등학생인구수,고령인구수,공동건축물수,생산가능인구수,용적율,유소년인구수,유아인구수,중학생인구수,초등학생인구수,총인구수,연령20대수,연령30대수,연령40대수,연령50대수,연령60대수,연령70대수,연령80대수,연령90대수,연령100대이상수,공시지가,노후건물수20년,노후건물수30년,응급의료시설접근성,보건기관접근성,주차장접근성,토지이용복합도,토지이용압축도,화재발생수,화재재산피해합계,화재재산피해평균,화재인명피해합계,화재인명피해평균,화재진압시간합계,화재진압시간평균,구조발생수,구조대상자수합계,구조대상자수평균,구조사망합계,구조사망평균,구조안전구조합계,구조안전구조평균,구조경상합계,구조경상평균,구조중상합계,구조중상평균,구조행방불명합계구조,구조행방불명평균,구급발생수
라라51a95a,30,4.2,1,30,8.45,0,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6258.16,0,0,9.62,3.076,8.208,1,0.01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라65b83b,81.7,5.36,37,92.76,29.31,0,39,0,8,37.07,0,0,0,0,47,0,0,0,0,13,14,12,0,0,8869.66,36,26,11.922,1.889,1.843,4,1.37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
라라69a84b,121.63,0,1,121.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13866.15,1,1,19.719,0.976,7.333,1,0.05,0,0,0,0,0,0,0,2,1,0.5,0,0,1,0.5,0,0,0,0,0,0,NA
라라70b95a,298.28,5.85,16,314.35,15.36,0,6,0,10,15.77,0,0,0,0,16,0,0,0,0,7,0,0,0,0,10109.99,4,1,9.364,1.94,1.938,4,1.43,1,18480,18480,0,0,286,286,31,8,0.258064516,0,0,0,0,5,0.161290323,1,0.032258065,0,0,NA
라라76b83a,110.1,5.9,28,110.06,25.6,0,17,0,14,25.58,0,0,0,0,31,0,0,0,6,8,6,0,0,0,17434.42,18,10,25.168,4.096,2.542,6,1.23,1,3300,3300,0,0,619,619,9,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라47a91b,69.12,4,1,69.12,5.68,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4792.93,0,0,7.42,7.481,3.483,1,0.03,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라56b94a,100.93,5.9,32,112.95,28.44,0,12,0,36,33.62,6,0,0,0,54,0,9,0,10,13,0,0,0,0,17377.19,22,15,9.946,4.559,5.792,6,1.45,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2
라라49a86b,183.7,6.73,58,240.07,31.81,0,23,1,49,52.93,0,0,0,0,77,8,9,7,10,22,9,0,0,0,124653.86,17,3,4.373,5.308,0.302,9,5.41,1,1494,1494,0,0,564,564,37,2,0.054054054,0,0,0,0,0,0,0,0,0,0,1
라라65b92a,83.81,4.03,40,83.7,25.47,0,30,0,10,25.24,0,0,0,0,40,0,0,0,0,7,9,12,0,0,13725.54,39,36,20.222,0.784,9.373,3,1.34,2,199,99.5,0,0,2501,1250.5,11,2,0.181818182,0,0,2,0.181818182,0,0,0,0,0,0,3
라마58a05a,79.94,5.29,32,79.58,24.65,0,21,0,17,24.36,0,0,0,0,42,0,0,0,8,0,7,13,0,0,7647.38,27,18,18.51,6.581,2.006,5,1.02,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
라라60b79a,167.3,4.31,24,167.3,30.97,0,10,0,12,30.97,0,0,0,0,22,0,0,0,7,0,6,0,0,0,6504.98,21,9,11.487,4.06,8.658,3,1.61,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라61a81b,102.07,5.58,35,114.02,29.58,0,28,0,24,34.01,0,0,0,0,52,0,0,8,6,15,11,7,0,0,34839.36,28,15,8.331,4.681,5.248,6,1.55,2,1032,516,0,0,882,441,29,2,0.068965517,1,0.034482759,0,0,1,0.034482759,0,0,0,0,9
라라51a95b,65.48,8,2,86.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.25,0,0,10.186,2.408,8.773,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라36b90b,88.02,2.8,4,88.02,18.81,0,6,0,0,18.56,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4002.76,4,1,27.466,3.884,4.065,1,0.14,2,1788,894,0,0,9014,4507,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라50a99b,84.73,6.75,1,99.04,10.84,0,0,0,0,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080.68,0,0,15.746,4.59,16.396,1,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
라마53b03a,77.27,4.96,35,81.63,20.05,0,19,0,8,22.95,0,0,0,0,27,0,0,0,0,0,0,8,0,0,10076.87,31,23,19.213,4.665,8.044,3,1.14,0,0,0,0,0,0,0,12,1,0.083333333,0,0,0,0,1,0.083333333,0,0,0,0,4
라라48a95b,81.57,4.93,34,81.05,24.89,0,19,0,22,24.55,0,0,0,0,41,0,0,0,7,12,6,0,0,0,13690.92,18,12,11.746,5.62,8.49,3,1.02,1,66185,66185,0,0,8637,8637,11,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라57b99b,83.34,3,19,83.03,26.77,0,11,0,9,25.98,0,0,0,0,20,0,0,0,0,0,0,6,0,0,12587.67,17,15,17.135,2.468,8.106,2,0.63,2,13878,6939,0,0,744,372,4,0,0,0,0,0,0,0,0,0,0,0,0,3
라라52b90a,165.82,5.59,4,221.08,10.81,0,7,0,0,10.81,0,0,0,0,12,0,0,0,0,0,0,0,0,0,25907.12,1,1,3.276,2.466,1.864,3,0.35,2,605,302.5,0,0,4325,2162.5,24,4,0.166666667,0,0,3,0.125,1,0.041666667,0,0,0,0,2
라라77b86b,72.65,5.44,20,72.62,16.68,0,19,0,13,16.68,0,0,0,0,34,0,0,0,7,9,8,0,0,0,12882.97,15,14,24.101,2.758,13.995,4,0.58,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라76b82b,57.08,4,5,57.08,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4237.2,5,3,25.843,4.772,3.177,2,0.11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라73b89a,176.22,0,5,176.22,55.2,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7610.22,5,0,19.303,0.875,3.083,2,0.35,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,NA
라라47a81a,60.71,0,3,60.71,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2411.56,3,3,10.741,0.884,5.057,1,0.07,0,0,0,0,0,0,0,3,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,1
라라38b88a,210.57,9.4,1,241.32,44.33,0,0,0,0,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5055.24,1,0,24.214,1.578,3.834,1,0.1,1,764,764,0,0,1031,1031,10,4,0.4,2,0.2,1,0.1,0,0,1,0.1,0,0,NA
